segment,vel_mae,vel_rmse,acc_mae,acc_rmse
L5,6.541022594319656e-05,9.77278541540727e-05,1.9092069123871624e-05,2.8784586902474985e-05
L3,9.564643551129848e-05,0.00013857825251761824,3.48193607351277e-05,5.040052565163933e-05
T12,0.00012238962517585605,0.00017721227777656168,5.377791603677906e-05,8.048906602198258e-05
T8,0.00017224258044734597,0.00024976400891318917,7.791392272338271e-05,0.0001191236442537047
Neck,0.0002617409045342356,0.00038598704850301147,0.00011795834143413231,0.00018137753068003803
Head,0.0003590292180888355,0.0005270119872875512,0.00013530280557461083,0.00020428468997124583
Right Shoulder,0.00023401068756356835,0.00034607425914146006,0.00010078874038299546,0.0001526885898783803
Right Upper Arm,0.0004490012943278998,0.0006246954435482621,0.000141081414767541,0.0002047933085123077
Right Forearm,0.0011708782985806465,0.0015857364051043987,0.0003504678315948695,0.0005586865008808672
Right Hand,0.0014944733120501041,0.002051010262221098,0.00047652178909629583,0.0007514347089454532
Left Shoulder,0.00023100235557649285,0.0003289624582976103,0.0001015038214973174,0.00015525698836427182
Left Upper Arm,0.00044950901065021753,0.0006477795541286469,0.00013773483806289732,0.00019864267960656434
Left Forearm,0.0011947816237807274,0.0017516096122562885,0.0003077765868511051,0.0005060858093202114
Left Hand,0.001509266090579331,0.0023131915368139744,0.0003925456549040973,0.0006439355202019215
Right Upper Leg,0.00010045840463135391,0.0001469431590521708,3.9019672840368e-05,5.578723721555434e-05
Right Lower Leg,0.0006253106403164566,0.001077852793969214,0.00015534626436419785,0.0002721260825637728
Right Foot,0.0005906532169319689,0.0010159420780837536,0.00016151409363374114,0.00030222293571569026
Right Toe,0.0007151151658035815,0.0014016960049048066,0.00020831548317801207,0.0004458694893401116
Left Upper Leg,0.00010006459342548624,0.00014699021994601935,3.8992788176983595e-05,5.5569602409377694e-05
Left Lower Leg,0.0005923943826928735,0.001039490569382906,0.0001523754035588354,0.0002511527272872627
Left Foot,0.0005670813261531293,0.0009109973325394094,0.00014485439169220626,0.00025186454877257347
Left Toe,0.000754477980080992,0.001396239036694169,0.00019865647482220083,0.00045712912105955184
