run_idx,video_id,label,input_start_frame,input_end_frame,target_frame,window_len,window_size,window_stride,frame_skip_step
0,MVN-J-Boning-64-001,4,0,174,175,59,60,30,3
1,MVN-J-Boning-64-001,0,177,295,296,60,60,30,2
1,MVN-J-Boning-64-001,0,237,355,356,60,60,30,2
1,MVN-J-Boning-64-001,0,357,407,408,26,60,30,2
2,MVN-J-Boning-64-001,4,409,586,587,60,60,30,3
2,MVN-J-Boning-64-001,4,589,589,590,1,60,30,3
3,MVN-J-Boning-64-001,2,591,709,710,60,60,30,2
3,MVN-J-Boning-64-001,2,651,769,770,60,60,30,2
3,MVN-J-Boning-64-001,2,711,829,830,60,60,30,2
3,MVN-J-Boning-64-001,2,771,889,890,60,60,30,2
3,MVN-J-Boning-64-001,2,891,895,896,3,60,30,2
4,MVN-J-Boning-64-001,3,897,1015,1016,60,60,30,2
4,MVN-J-Boning-64-001,3,1017,1041,1042,13,60,30,2
5,MVN-J-Boning-64-001,4,1042,1219,1220,60,60,30,3
5,MVN-J-Boning-64-001,4,1132,1309,1310,60,60,30,3
5,MVN-J-Boning-64-001,4,1222,1399,1400,60,60,30,3
5,MVN-J-Boning-64-001,4,1402,1462,1463,21,60,30,3
6,MVN-J-Boning-64-001,2,1463,1581,1582,60,60,30,2
6,MVN-J-Boning-64-001,2,1523,1641,1642,60,60,30,2
6,MVN-J-Boning-64-001,2,1583,1701,1702,60,60,30,2
6,MVN-J-Boning-64-001,2,1643,1761,1762,60,60,30,2
6,MVN-J-Boning-64-001,2,1703,1821,1822,60,60,30,2
6,MVN-J-Boning-64-001,2,1763,1881,1882,60,60,30,2
6,MVN-J-Boning-64-001,2,1823,1941,1942,60,60,30,2
6,MVN-J-Boning-64-001,2,1883,2001,2002,60,60,30,2
6,MVN-J-Boning-64-001,2,1943,2061,2062,60,60,30,2
6,MVN-J-Boning-64-001,2,2003,2121,2122,60,60,30,2
6,MVN-J-Boning-64-001,2,2123,2147,2148,13,60,30,2
7,MVN-J-Boning-64-001,3,2148,2214,2215,34,60,30,2
8,MVN-J-Boning-64-001,4,2216,2393,2394,60,60,30,3
8,MVN-J-Boning-64-001,4,2306,2483,2484,60,60,30,3
8,MVN-J-Boning-64-001,4,2486,2486,2487,1,60,30,3
9,MVN-J-Boning-64-001,0,2487,2605,2606,60,60,30,2
9,MVN-J-Boning-64-001,0,2607,2647,2648,21,60,30,2
10,MVN-J-Boning-64-001,3,2648,2712,2713,33,60,30,2
11,MVN-J-Boning-64-001,4,2714,2891,2892,60,60,30,3
11,MVN-J-Boning-64-001,4,2894,2954,2955,21,60,30,3
12,MVN-J-Boning-64-002,4,0,177,178,60,60,30,3
12,MVN-J-Boning-64-002,4,90,267,268,60,60,30,3
12,MVN-J-Boning-64-002,4,180,357,358,60,60,30,3
12,MVN-J-Boning-64-002,4,270,447,448,60,60,30,3
12,MVN-J-Boning-64-002,4,360,537,538,60,60,30,3
12,MVN-J-Boning-64-002,4,450,627,628,60,60,30,3
12,MVN-J-Boning-64-002,4,540,717,718,60,60,30,3
12,MVN-J-Boning-64-002,4,630,807,808,60,60,30,3
12,MVN-J-Boning-64-002,4,720,897,898,60,60,30,3
12,MVN-J-Boning-64-002,4,810,987,988,60,60,30,3
12,MVN-J-Boning-64-002,4,900,1077,1078,60,60,30,3
12,MVN-J-Boning-64-002,4,990,1167,1168,60,60,30,3
12,MVN-J-Boning-64-002,4,1080,1257,1258,60,60,30,3
12,MVN-J-Boning-64-002,4,1170,1347,1348,60,60,30,3
12,MVN-J-Boning-64-002,4,1260,1437,1438,60,60,30,3
12,MVN-J-Boning-64-002,4,1440,1452,1453,5,60,30,3
13,MVN-J-Boning-64-002,3,1453,1557,1558,53,60,30,2
14,MVN-J-Boning-64-002,4,1559,1580,1581,8,60,30,3
15,MVN-J-Boning-64-002,8,1582,1700,1701,60,60,20,2
15,MVN-J-Boning-64-002,8,1622,1740,1741,60,60,20,2
15,MVN-J-Boning-64-002,8,1662,1780,1781,60,60,20,2
15,MVN-J-Boning-64-002,8,1702,1820,1821,60,60,20,2
15,MVN-J-Boning-64-002,8,1742,1860,1861,60,60,20,2
15,MVN-J-Boning-64-002,8,1782,1900,1901,60,60,20,2
15,MVN-J-Boning-64-002,8,1822,1940,1941,60,60,20,2
15,MVN-J-Boning-64-002,8,1942,1944,1945,2,60,20,2
16,MVN-J-Boning-64-002,0,1945,2063,2064,60,60,30,2
16,MVN-J-Boning-64-002,0,2005,2123,2124,60,60,30,2
16,MVN-J-Boning-64-002,0,2065,2183,2184,60,60,30,2
16,MVN-J-Boning-64-002,0,2125,2243,2244,60,60,30,2
16,MVN-J-Boning-64-002,0,2185,2303,2304,60,60,30,2
16,MVN-J-Boning-64-002,0,2245,2363,2364,60,60,30,2
16,MVN-J-Boning-64-002,0,2365,2417,2418,27,60,30,2
17,MVN-J-Boning-64-002,1,2418,2536,2537,60,60,30,2
17,MVN-J-Boning-64-002,1,2478,2596,2597,60,60,30,2
17,MVN-J-Boning-64-002,1,2598,2634,2635,19,60,30,2
18,MVN-J-Boning-64-002,0,2636,2754,2755,60,60,30,2
18,MVN-J-Boning-64-002,0,2756,2804,2805,25,60,30,2
19,MVN-J-Boning-64-002,2,2805,2923,2924,60,60,30,2
19,MVN-J-Boning-64-002,2,2865,2983,2984,60,60,30,2
19,MVN-J-Boning-64-002,2,2925,3043,3044,60,60,30,2
19,MVN-J-Boning-64-002,2,2985,3103,3104,60,60,30,2
19,MVN-J-Boning-64-002,2,3045,3163,3164,60,60,30,2
19,MVN-J-Boning-64-002,2,3105,3223,3224,60,60,30,2
19,MVN-J-Boning-64-002,2,3165,3283,3284,60,60,30,2
19,MVN-J-Boning-64-002,2,3285,3293,3294,5,60,30,2
20,MVN-J-Boning-64-002,3,3295,3413,3414,60,60,30,2
20,MVN-J-Boning-64-002,3,3415,3437,3438,12,60,30,2
21,MVN-J-Boning-64-002,4,3438,3615,3616,60,60,30,3
21,MVN-J-Boning-64-002,4,3528,3705,3706,60,60,30,3
21,MVN-J-Boning-64-002,4,3618,3795,3796,60,60,30,3
21,MVN-J-Boning-64-002,4,3708,3885,3886,60,60,30,3
21,MVN-J-Boning-64-002,4,3798,3975,3976,60,60,30,3
21,MVN-J-Boning-64-002,4,3888,4065,4066,60,60,30,3
21,MVN-J-Boning-64-002,4,3978,4155,4156,60,60,30,3
21,MVN-J-Boning-64-002,4,4068,4245,4246,60,60,30,3
21,MVN-J-Boning-64-002,4,4158,4335,4336,60,60,30,3
21,MVN-J-Boning-64-002,4,4248,4425,4426,60,60,30,3
21,MVN-J-Boning-64-002,4,4338,4515,4516,60,60,30,3
21,MVN-J-Boning-64-002,4,4428,4605,4606,60,60,30,3
21,MVN-J-Boning-64-002,4,4518,4695,4696,60,60,30,3
21,MVN-J-Boning-64-002,4,4608,4785,4786,60,60,30,3
21,MVN-J-Boning-64-002,4,4698,4875,4876,60,60,30,3
21,MVN-J-Boning-64-002,4,4788,4965,4966,60,60,30,3
21,MVN-J-Boning-64-002,4,4878,5055,5056,60,60,30,3
21,MVN-J-Boning-64-002,4,4968,5145,5146,60,60,30,3
21,MVN-J-Boning-64-002,4,5058,5235,5236,60,60,30,3
21,MVN-J-Boning-64-002,4,5148,5325,5326,60,60,30,3
21,MVN-J-Boning-64-002,4,5328,5376,5377,17,60,30,3
22,MVN-J-Boning-64-002,3,5378,5400,5401,12,60,30,2
23,MVN-J-Boning-64-002,4,5402,5579,5580,60,60,30,3
23,MVN-J-Boning-64-002,4,5582,5615,5616,12,60,30,3
24,MVN-J-Boning-64-002,8,5616,5734,5735,60,60,20,2
24,MVN-J-Boning-64-002,8,5656,5774,5775,60,60,20,2
24,MVN-J-Boning-64-002,8,5696,5814,5815,60,60,20,2
24,MVN-J-Boning-64-002,8,5736,5854,5855,60,60,20,2
24,MVN-J-Boning-64-002,8,5856,5856,5857,1,60,20,2
25,MVN-J-Boning-64-002,2,5858,5976,5977,60,60,30,2
25,MVN-J-Boning-64-002,2,5918,6036,6037,60,60,30,2
25,MVN-J-Boning-64-002,2,5978,6096,6097,60,60,30,2
25,MVN-J-Boning-64-002,2,6038,6156,6157,60,60,30,2
25,MVN-J-Boning-64-002,2,6098,6216,6217,60,60,30,2
25,MVN-J-Boning-64-002,2,6158,6276,6277,60,60,30,2
25,MVN-J-Boning-64-002,2,6218,6336,6337,60,60,30,2
25,MVN-J-Boning-64-002,2,6278,6396,6397,60,60,30,2
25,MVN-J-Boning-64-002,2,6398,6408,6409,6,60,30,2
26,MVN-J-Boning-64-002,1,6409,6527,6528,60,60,30,2
26,MVN-J-Boning-64-002,1,6529,6529,6530,1,60,30,2
27,MVN-J-Boning-64-002,0,6531,6649,6650,60,60,30,2
27,MVN-J-Boning-64-002,0,6651,6695,6696,23,60,30,2
28,MVN-J-Boning-64-003,4,0,177,178,60,60,30,3
28,MVN-J-Boning-64-003,4,90,267,268,60,60,30,3
28,MVN-J-Boning-64-003,4,180,357,358,60,60,30,3
28,MVN-J-Boning-64-003,4,270,447,448,60,60,30,3
28,MVN-J-Boning-64-003,4,360,537,538,60,60,30,3
28,MVN-J-Boning-64-003,4,450,627,628,60,60,30,3
28,MVN-J-Boning-64-003,4,540,717,718,60,60,30,3
28,MVN-J-Boning-64-003,4,630,807,808,60,60,30,3
28,MVN-J-Boning-64-003,4,720,897,898,60,60,30,3
29,MVN-J-Boning-64-003,3,899,925,926,14,60,30,2
30,MVN-J-Boning-64-003,4,927,1014,1015,30,60,30,3
31,MVN-J-Boning-64-003,8,1015,1133,1134,60,60,20,2
31,MVN-J-Boning-64-003,8,1055,1173,1174,60,60,20,2
31,MVN-J-Boning-64-003,8,1175,1197,1198,12,60,20,2
32,MVN-J-Boning-64-003,0,1198,1316,1317,60,60,30,2
32,MVN-J-Boning-64-003,0,1258,1376,1377,60,60,30,2
32,MVN-J-Boning-64-003,0,1378,1408,1409,16,60,30,2
33,MVN-J-Boning-64-004,2,0,118,119,60,60,30,2
33,MVN-J-Boning-64-004,2,60,178,179,60,60,30,2
33,MVN-J-Boning-64-004,2,120,238,239,60,60,30,2
33,MVN-J-Boning-64-004,2,180,298,299,60,60,30,2
33,MVN-J-Boning-64-004,2,240,358,359,60,60,30,2
33,MVN-J-Boning-64-004,2,300,418,419,60,60,30,2
33,MVN-J-Boning-64-004,2,360,478,479,60,60,30,2
33,MVN-J-Boning-64-004,2,420,538,539,60,60,30,2
33,MVN-J-Boning-64-004,2,480,598,599,60,60,30,2
33,MVN-J-Boning-64-004,2,540,658,659,60,60,30,2
33,MVN-J-Boning-64-004,2,600,718,719,60,60,30,2
33,MVN-J-Boning-64-004,2,660,778,779,60,60,30,2
33,MVN-J-Boning-64-004,2,720,838,839,60,60,30,2
33,MVN-J-Boning-64-004,2,780,898,899,60,60,30,2
33,MVN-J-Boning-64-004,2,840,958,959,60,60,30,2
33,MVN-J-Boning-64-004,2,900,1018,1019,60,60,30,2
33,MVN-J-Boning-64-004,2,1020,1032,1033,7,60,30,2
34,MVN-J-Boning-64-004,0,1033,1071,1072,20,60,30,2
35,MVN-J-Boning-64-004,1,1072,1158,1159,44,60,30,2
36,MVN-J-Boning-64-004,0,1159,1277,1278,60,60,30,2
36,MVN-J-Boning-64-004,0,1219,1337,1338,60,60,30,2
36,MVN-J-Boning-64-004,0,1279,1397,1398,60,60,30,2
36,MVN-J-Boning-64-004,0,1339,1457,1458,60,60,30,2
36,MVN-J-Boning-64-004,0,1399,1517,1518,60,60,30,2
36,MVN-J-Boning-64-004,0,1459,1577,1578,60,60,30,2
36,MVN-J-Boning-64-004,0,1519,1637,1638,60,60,30,2
36,MVN-J-Boning-64-004,0,1579,1697,1698,60,60,30,2
36,MVN-J-Boning-64-004,0,1639,1757,1758,60,60,30,2
36,MVN-J-Boning-64-004,0,1699,1817,1818,60,60,30,2
